::1, 2017-05-31 20:44:08, GET, /Corpus/default/other, HTTP/1.1, 200, 0.234387
::1, 2017-05-31 20:44:09, GET, /Corpus/static/images/favicon.ico, HTTP/1.1, 200, 0.001121
::1, 2017-05-31 20:44:31, POST, /admin/default/edit/Corpus/controllers/default.py, HTTP/1.1, 200, 0.077177
::1, 2017-05-31 20:44:32, GET, /Corpus/default/other, HTTP/1.1, 500, 0.209290
::1, 2017-05-31 20:44:33, GET, /favicon.ico, HTTP/1.1, 400, 0.000953
::1, 2017-05-31 20:44:34, GET, /admin/default/ticket/Corpus/__1.2017-05-31.20-44-32.1e9cc76b-1514-46ef-943d-f5ddd52ec13b, HTTP/1.1, 200, 0.104879
::1, 2017-05-31 20:44:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000765
::1, 2017-05-31 20:45:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.106919
::1, 2017-05-31 20:45:03, GET, /Corpus/appadmin/hooks, HTTP/1.1, 200, 1.156092
::1, 2017-05-31 20:45:29, POST, /admin/default/edit/Corpus/controllers/default.py, HTTP/1.1, 200, 0.058731
::1, 2017-05-31 20:45:31, GET, /Corpus/default/other, HTTP/1.1, 500, 0.225327
::1, 2017-05-31 20:45:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000848
::1, 2017-05-31 20:45:32, GET, /Corpus/default/other, HTTP/1.1, 500, 0.217757
::1, 2017-05-31 20:45:32, GET, /favicon.ico, HTTP/1.1, 400, 0.001057
::1, 2017-05-31 20:45:43, GET, /Corpus/default/index, HTTP/1.1, 200, 0.090448
::1, 2017-05-31 20:45:45, GET, /Corpus/default/btn1, HTTP/1.1, 200, 0.077620
::1, 2017-05-31 20:45:49, POST, /Corpus/default/btn1, HTTP/1.1, 303, 0.091120
::1, 2017-05-31 20:45:49, GET, /Corpus/default/other, HTTP/1.1, 500, 0.183430
::1, 2017-05-31 20:45:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000666
::1, 2017-05-31 20:45:51, GET, /admin/default/ticket/Corpus/__1.2017-05-31.20-45-49.8f8b9f7c-3216-4a31-8e25-686c6e34dfda, HTTP/1.1, 200, 0.117725
::1, 2017-05-31 20:45:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000734
::1, 2017-05-31 20:46:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.138877
::1, 2017-05-31 20:46:03, GET, /Corpus/appadmin/hooks, HTTP/1.1, 200, 0.942881
::1, 2017-05-31 20:46:08, POST, /admin/default/edit/Corpus/controllers/default.py, HTTP/1.1, 200, 0.058558
::1, 2017-05-31 20:46:11, POST, /admin/default/edit/Corpus/controllers/default.py, HTTP/1.1, 200, 0.062446
::1, 2017-05-31 20:46:13, GET, /Corpus/default/other, HTTP/1.1, 200, 0.198215
::1, 2017-05-31 20:46:24, POST, /admin/default/edit/Corpus/controllers/default.py, HTTP/1.1, 200, 0.059946
::1, 2017-05-31 20:46:27, GET, /Corpus/default/other, HTTP/1.1, 200, 1.751112
::1, 2017-05-31 20:46:28, GET, /Corpus/static/images/favicon.ico, HTTP/1.1, 200, 0.000768
::1, 2017-05-31 20:46:42, GET, /Corpus/default/index, HTTP/1.1, 200, 0.075504
::1, 2017-05-31 20:46:46, GET, /Corpus/default/index, HTTP/1.1, 200, 0.073258
::1, 2017-05-31 20:46:48, GET, /Corpus/default/btn1, HTTP/1.1, 200, 0.101734
::1, 2017-05-31 20:46:50, GET, /Corpus/default/btn2, HTTP/1.1, 200, 0.091797
::1, 2017-05-31 20:46:52, GET, /Corpus/default/btn1, HTTP/1.1, 200, 0.104691
::1, 2017-05-31 20:46:54, POST, /Corpus/default/btn1, HTTP/1.1, 303, 0.078098
::1, 2017-05-31 20:46:56, GET, /Corpus/default/other, HTTP/1.1, 200, 1.770012
::1, 2017-05-31 20:47:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.192602
::1, 2017-05-31 20:47:03, GET, /Corpus/appadmin/hooks, HTTP/1.1, 200, 0.941605
::1, 2017-05-31 20:48:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.163880
::1, 2017-05-31 20:48:03, GET, /Corpus/appadmin/hooks, HTTP/1.1, 200, 1.036208
::1, 2017-05-31 20:49:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.168132
::1, 2017-05-31 20:49:03, GET, /Corpus/appadmin/hooks, HTTP/1.1, 200, 0.937225
::1, 2017-05-31 20:50:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.158533
::1, 2017-05-31 20:50:03, GET, /Corpus/appadmin/hooks, HTTP/1.1, 200, 0.940533
::1, 2017-05-31 20:51:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.175334
::1, 2017-05-31 20:51:03, GET, /Corpus/appadmin/hooks, HTTP/1.1, 200, 1.188321
::1, 2017-05-31 20:52:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.136879
::1, 2017-05-31 20:52:03, GET, /Corpus/appadmin/hooks, HTTP/1.1, 200, 0.687948
::1, 2017-05-31 20:53:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.147631
::1, 2017-05-31 20:53:03, GET, /Corpus/appadmin/hooks, HTTP/1.1, 200, 0.941069
::1, 2017-05-31 20:54:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.152966
::1, 2017-05-31 20:54:03, GET, /Corpus/appadmin/hooks, HTTP/1.1, 200, 0.932974
::1, 2017-05-31 20:55:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.125642
::1, 2017-05-31 20:55:03, GET, /Corpus/appadmin/hooks, HTTP/1.1, 200, 0.940502
::1, 2017-05-31 20:56:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.129688
::1, 2017-05-31 20:56:03, GET, /Corpus/appadmin/hooks, HTTP/1.1, 200, 0.937433
::1, 2017-05-31 20:57:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.149481
::1, 2017-05-31 20:57:03, GET, /Corpus/appadmin/hooks, HTTP/1.1, 200, 0.937472
